OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
82996,235,Over 200$,10/24/2014,11:00,D140112375A,125 ORIENTAL,NE20,196356.57,1646759.84
82997,235,Over 200$,10/28/2014,21:43,D140114081A,6845 WALTON ST,SW80,154917.21,1644975.29
82998,235,Over 200$,10/31/2014,9:00,D140119275A,307 E MERRILL ST,DT40,191463.13,1643197.27
82999,235,Over 200$,10/31/2014,17:00,D140116080A,1201 INDIANA AVE,NW10,184127.03,1652330.23
83000,235,Over 200$,11/1/2014,17:34,D140115407A,40 E ST CLAIR ST,DT20,190287.76,1650220.17
83001,235,Over 200$,11/5/2014,23:00,D140117245A,40 JACKSON PL,DT30,189576.17,1644953.73
83002,235,Over 200$,11/12/2014,15:30,D140119506A,430 MASSACHUSETTS AVE,DT20,191698.59,1648394.3
83003,235,Over 200$,11/13/2014,7:30,D140119601A,719 VIRGINIA AVE,DT40,193529.47,1642636.52
83004,235,Over 200$,12/4/2014,9:20,D140126554A,200 E WASHINGTON ST,DT20,191223.64,1646454.58
83005,235,Over 200$,12/6/2014,22:00,D140113032B,473 N WALCOTT ST,NE20,198064.11,1648633.23
83006,235,Over 200$,12/11/2014,22:51,D140129333A,3157 S MCCLURE ST,SW70,170687.46,1628322.22
83007,235,Over 200$,12/13/2014,0:01,D140129726A,225 S MERIDIAN ST,DT40,189919.11,1644955.46
83008,235,Over 200$,12/15/2014,3:03,D140130315A,5720 MADISON AVE,SE30,196766.05,1615275.32
83009,235,Over 200$,12/23/2014,14:00,D140133319A,1644 BROAD RIPPLE AVE,ND50,197490.7,1683188.87
92247,245,50$ to 200$,8/12/2013,14:50,D130106155A,2121 W MICHIGAN ST,SW10,178694.68,1648715.77
92248,245,50$ to 200$,1/11/2014,99:99,D140004045A,6805 CLIFFVIEW DR,NW70,155741.8,1661168.79
92249,245,50$ to 200$,1/23/2014,14:00,D140007750A,3660 N WASHINGTON BL,ND10,191715.47,1666455.86
92250,245,50$ to 200$,2/13/2014,22:00,D140016073A,6855 TOWNSHIP LINE RD,ND70,177107.46,1687320.03
